run,window,start_s,end_s,signal,runtime_status,raw_units_from_inf,min,mean,max
stage9,pre_fault,0.0,0.49,PAPER_OVL1_BRK_STATE,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,VIBR1_2,readable,,0.91051071893218,0.9400020004365336,1.0007889067996
stage9,fault,0.5,2.5,PIBR1_2,readable,,-30.775831177119,157.88412054274127,202.74619477574
stage9,fault,0.5,2.5,QIBR1_2,readable,,-44.667981726202,56.18691653381278,73.947292973657
stage9,fault,0.5,2.5,DFIG_LVRT_LOWV,readable,logic,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_IMMTRIP,readable,logic,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_TIMER_S,readable,s,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_DURATION_EXCEEDED,readable,logic,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_TRIP_REQUEST,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_TRIP_LATCH,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_FINAL_BRK_CMD,readable,logic,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_FINAL_CMD_BOOL,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_BRK_OPEN_BOOL,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_TRIP_CONFIRMED,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_CASCADE_EVENT_VALID,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,readable,,1.0,1.0,1.0
stage9,fault,0.5,2.5,DFIG_LVRT_CASCADE_AVAILABLE,readable,,1.0,1.0,1.0
stage9,fault,0.5,2.5,DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S,readable,s,-1.0,-1.0,-1.0
stage9,fault,0.5,2.5,DFIG_LVRT_EXISTING_BRK_CMD,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_ORIGINAL_CMD_OPEN_BOOL,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,DFIG_LVRT_TALLOW_S,readable,s,2.0,2.0,2.0
stage9,fault,0.5,2.5,E_28_29_1_A_P,readable,,-5.3256319543197,0.13421000692428475,0.21001727358177
stage9,fault,0.5,2.5,E_28_29_1_A_Q,readable,,0.082043954830662,2.0860479385335697,2.1492463716715
stage9,fault,0.5,2.5,E_28_29_1_B_P,readable,,-5.3618956639915,-0.06228347006156037,0.0074425902101649
stage9,fault,0.5,2.5,E_28_29_1_B_Q,readable,,-0.047071061578853,0.0021170653076693054,0.0048423050249813
stage9,fault,0.5,2.5,PAPER_OVL1_S_MAX_PU,readable,pu,1.8068681364988,2.139767052388262,5.3627731085416
stage9,fault,0.5,2.5,PAPER_OVL1_LOADING_INDEX_EQ,readable,pu,0.2295052408741,0.27178948084414256,0.68117009158948
stage9,fault,0.5,2.5,PAPER_OVL1_ABOVE_THRESHOLD,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,PAPER_OVL1_TIMER_OR_CURVE_STATE,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,PAPER_OVL1_TRIP_REQUEST,readable,,0.0,0.0,0.0
stage9,fault,0.5,2.5,PAPER_OVL1_BRK_STATE,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,VIBR1_2,readable,,0.76257961241877,0.9560351426687376,1.1906962675292
